project,datetime_UTC,datetime_local,siteId,rType,appr1,appr2,appr3,appr4,rep,sublocation,Temp_EXO_C,ODOSat,ODO_mg_L,SpCond_uS_cm,Conductivity_uS_cm,FDOM_QSU_Raw,FDOM_QSU_Temp,FDOM_QSU_TempTurb,Turbidity_NTU,flag_Temp_EXO_C,flag_ODOSat,flag_ODO_mg_L,flag_SpCond_uS_cm,flag_Conductivity_uS_cm,flag_FDOM_QSU,flag_FDOM_QSU_Temp,flag_FDOM_QSU_TempTurb,flag_Turbidity_NTU
AIMS,2022-03-28 16:00:00,2022-03-28 10:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.52,94.7,12.57,124,NA,67,60.98759702,63.88029713,10.17,,,,,M,,,,
AIMS,2022-03-28 16:15:00,2022-03-28 10:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.53,94.7,12.57,124,NA,66.85,60.85359992,63.74281196,10.18,,,,,M,,,,
AIMS,2022-03-28 16:30:00,2022-03-28 10:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.52,94.7,12.57,124,NA,66.77,60.77823662,63.66100656,10.17,,,,,M,,,,
AIMS,2022-03-28 16:45:00,2022-03-28 10:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.52,94.7,12.57,124,NA,66.71,60.72362086,63.59235519,10.13,,,,,M,,,,
AIMS,2022-03-28 17:00:00,2022-03-28 11:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.51,94.7,12.57,124,NA,66.55,60.57544817,63.39152258,9.97,,,,,M,,,,
AIMS,2022-03-28 17:15:00,2022-03-28 11:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.49,94.7,12.57,124,NA,66.44,60.47027112,63.29000126,10,,,,,M,,,,
AIMS,2022-03-28 17:30:00,2022-03-28 11:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.48,94.7,12.58,124,NA,66.37,60.40403752,63.21783383,9.99,,,,,M,,,,
AIMS,2022-03-28 17:45:00,2022-03-28 11:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.48,94.7,12.58,124,NA,66.24,60.28572315,63.03722397,9.79,,,,,M,,,,
AIMS,2022-03-28 18:00:00,2022-03-28 12:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.47,94.7,12.58,124,NA,66.12,60.1739964,62.97140785,9.97,,,,,M,,,,
AIMS,2022-03-28 18:15:00,2022-03-28 12:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,3.48,94.7,12.58,124,NA,66.01,60.07639772,62.81551596,9.78,,,,,M,,,,
